163009,160009
163302,165101-2
341060,163231
341061,163310
341062,164830
341063,164830
341065,213100
341066,158100
341069,166210-1
341221,163231
341227,163231
341228,163310
341229,164830
341230,164830
341232,213100
341233,166210-2
341150,204400
341151,204410
300029,190009
140006,140009
141101-1,141121-1
141101-2,141161-2
141171,141121
143504,141600
144303,143301-1
153808,180009
153809,180009
165102,153803-1
169005,181300
181009,181103
181199,214100
183009,182401
183210,182401
341138,182300
153410,153400
153410-1,152620
153509,150009
154839,150009
155501,155510-1
